"","pitcher_name","player_name","game_date","events","launch_angle","launch_speed","video_url"
"61","Yoshinobu Yamamoto","Tatis Jr., Fernando",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=234ceede-b23c-479c-abb4-f6706d41a994"
"62","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=594be62c-09fb-4343-ad0e-478c422ea93e"
"63","Yoshinobu Yamamoto","Arraez, Luis",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=0f585ff6-6809-492a-aa6a-c1b5aa599a76"
"64","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=6d390f92-a4f1-4760-8e81-85b5e35bcf30"
"65","Blake Treinen","Machado, Manny",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=d6b35e77-b4fb-4412-b00d-4768fb239923"
"66","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=5489b096-2cf9-4ae0-8edf-5e7c89933b89"
"67","Yoshinobu Yamamoto","Arraez, Luis",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=cb8581fd-47c8-463f-bae4-3865ebcae02a"
"68","Dylan Cease","Rojas, Miguel",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=b124ab95-c3ee-4de2-a356-1c9649aea7a6"
"69","Blake Treinen","Machado, Manny",2024-10-05,NA,57,85,"https://baseballsavant.mlb.com/sporty-videos?playId=145a4e6d-73f1-4408-a88d-8aa4573dbcdf"
"70","Yoshinobu Yamamoto","Arraez, Luis",2024-10-05,NA,11,80.8,"https://baseballsavant.mlb.com/sporty-videos?playId=01a33a6b-e44d-42e4-a3ef-1a3bfdb1def7"
"71","Yoshinobu Yamamoto","Arraez, Luis",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=8677b8e4-7d0e-4009-b012-118edde7deb5"
"72","Blake Treinen","Machado, Manny",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=3de160e3-5428-43d9-866d-be3aa3787ece"
"73","Dylan Cease","Edman, Tommy",2024-10-05,"strikeout",NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=9b8dc9bc-0454-4f46-8ed3-b400eaef669a"
"74","Blake Treinen","Machado, Manny",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=18224332-894a-4934-b22b-1d915cb27640"
"75","Yoshinobu Yamamoto","Arraez, Luis",2024-10-05,NA,NA,NA,"https://baseballsavant.mlb.com/sporty-videos?playId=67a16694-f612-4127-b5ca-4b08841d06dd"
